MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21908100,1060000,85718,-11.093.866,32.348.912,0.85,11502.71,1999,4,5,4125,4,"Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Lazy Susan, Pantry: Walk-In, Refrigerator, Water Purifier, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: ., Oven: .",3,Other: Flagstone,175
21904919,1100000,85658,-111.100.441,32.469.199,0.29,12681.21,2014,3,3,2308,2,"Dishwasher, Freezer, Gas Range, Island, Refrigerator",1,Natural Stone,None
21911577,1100000,85719,-110.938.483,32.239.387,0.18,6462.67,1977,3,4,3752,2,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Butler, Prep Sink, Refrigerator, Reverse Osmosis, Warming Drawer, Water Purifier, Appliance Color: Stainless, Countertops: limestone and SS, Microwave: stainless, Oven: Miele",1,"Natural Stone, Other: Limestone",None
21425598,1045000,85737,-110.989.458,32.400.046,0.63,12758.7,2005,4,5,5771,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone, Wood",45
21327570,1100000,85658,-11.105.176,32.479.892,1.71,11275.97,2005,3,4,3620,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",143
21625849,1150000,85718,-110.928.432,32.307.983,1.24,7774.52,1992,4,4,5338,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Concrete,0
21709343,1190000,85701,-110.964.253,32.216.347,0.28,7528.35,1977,9,9,7688,1,"Compactor, Desk, Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Other, Countertops: stone",1,"Concrete, Mexican Tile, Wood",0
21500280,1020000,85718,-110.898.425,32.333.345,1.51,3000.91,2014,4,4,3775,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Natural Stone",0
21631257,1115000,85718,-110.921.433,32.311.177,1.22,10252.31,1998,5,5,4700,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Ceramic Tile,195
21322583,1125000,85737,-110.990.187,3.240.399,1.29,9684.47,2003,4,5,4168,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Other",51
21532125,1000000,85718,-11.091.725,32.299.084,1.42,9644.82,2004,4,5,4561,3,"Dishwasher, Garbage Disposal, Oven",5,"Carpet, Other",22
21912594,1070000,85718,-11.093.858,32.349.489,01.03,11610.47,2003,4,4,4551,3,"Desk, Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Water Purifier, Appliance Color: Stainless, Countertops: Granite",2,"Carpet, Other: Travertine",None
21305824,1032000,85750,-11.086.998,32.321.889,0.56,8194.72,2007,5,5,4319,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Natural Stone, Wood",35
21708684,1089500,85718,-110.880.486,32.335.543,4.34,10252.6,1981,4,3,4496,5,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Ceramic Tile, Wood",259
21422822,1225000,85750,-110.832.363,32.281.855,0.96,14936.78,2003,4,5,6569,3,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone, Wood",110
21419132,1050000,85718,-110.915.515,32.288.808,1.9,7574.63,1998,4,4,3389,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,Mexican Tile,194
21502738,1075000,85715,-11.085.261,32.251.879,1.26,10493,2005,4,4,6399,2,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",48
21613280,1075000,85737,-110.941.999,32.397.863,0,12477.95,2006,3,5,4468,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,Natural Stone,96
21619813,1065000,85718,-110.888.839,32.329.807,0.88,10709,2006,4,6,5810,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile, Natural Stone",258
21700748,1090000,85755,-110.990.862,32.460.423,1.57,13278.96,2014,4,4,4117,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Natural Stone, Wood",194
21704685,1100000,85739,-1.108.575,32.543.025,0.28,5175.48,2010,3,4,3700,3.5,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",165
21110496,950000,85718,-110.877.569,32.328.378,01.05,8640,1989,4,5,4387,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Natural Stone",145
21206478,1135000,85718,-110.920.365,32.342.229,0.8,8080.4,1983,3,3,3854,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone, Wood",242
21809499,1175000,85718,-11.094.253,32.348.582,01.05,13197.84,2005,3,3,4385,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator",3,"Carpet, Natural Stone",157
21824236,1125000,85718,-110.943.514,32.340.117,1.23,12340.55,2001,4,4,4235,3,"Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: Granite, Microwave: ., Oven: .",2,Natural Stone,157.33
21903290,995000,85750,-110.841.341,32.318.579,02.03,9493.17,1991,4,4,4383,4,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite & Butcher Bl, Microwave: built-in",3,"Carpet, Natural Stone",None
21401609,1050000,85737,-110.946.865,32.388.981,1.71,11680,2000,4,4,5228,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Natural Stone",93
21816476,1000000,85658,-111.101.977,32.465.632,0.32,8314.32,2015,3,3,3404,3,"Compactor, Dishwasher, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite/Quartz",2,"Carpet, Ceramic Tile, Laminate, Wood",None
21609440,1090000,85737,-111.002.799,32.455.775,7.73,18141.28,2009,3,4,5671,3,"Dishwasher, Garbage Disposal, Refrigerator, Oven",2,"Carpet, Natural Stone",42
21521014,1025000,85755,-110.978.571,32.460.133,0.83,12700,2014,3,4,3078,3,"Dishwasher, Garbage Disposal, Microwave, Oven",1,"Carpet, Ceramic Tile, Indoor/Outdoor, Natural Stone",167
21400010,1025000,85658,-111.063.313,32.462.699,1.39,10631,2005,3,4,3479,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave",3,"Carpet, Wood",139
21404217,1075000,85750,-110.824.905,32.288.652,1.56,8634,2000,3,5,4131,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Natural Stone",110
21524746,1000000,85641,-110.610.287,32.129.735,41.04,12258.22,1940,7,9,8335,0,"Dishwasher, Freezer, Garbage Disposal, Oven",5,"Ceramic Tile, Concrete, Mexican Tile, Wood",122
21528792,1055000,85755,-110.960.808,32.471.811,1.56,12251.45,2006,4,5,4279,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,Other,200
